expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	104	7	22	S	L2	4.55	NA	60.7	0	65.25	7	0	4	0	2	67	1.14	NA	30.35	6.1026	48.6963	54.7989	0.0121	0.1034	0.1155	77.14	NA
E4	105	7	22	S	L3	0.57	NA	122.08	0	122.65	0	0	2	0	4	33	0.29	NA	30.52	12.8691	29.9182	42.7872	0.0383	0.0664	0.1046	64.32	NA
E4	106	7	22	S	L4	0.03	NA	116.23	0	116.26	0	0	1	0	5	17	0.03	NA	23.25	2.391	30.3723	32.7633	0.0019	0.0762	0.078	59.26	NA
E4	108	7	22	P	L1	25.25	3.57	NA	0	28.82	88	0	5	1	0	83	5.05	3.57	NA	13.4556	18.7222	32.1778	0.0378	-0.1087	-0.0709	75.77	NA
E4	109	7	22	P	L2	24.08	4.31	NA	0	28.39	85	0	4	2	0	67	6.02	2.16	NA	8.0173	51.9096	59.9269	0.0216	-0.0093	0.0123	80.32	NA
E4	110	7	22	P	L3	10.86	36.66	NA	0.07	47.59	23	0	2	4	0	33	5.43	9.17	NA	8.147	53.8702	62.0173	0.0211	-0.1015	-0.0804	81.34	NA
E4	111	7	22	P	L4	4.47	26.93	NA	0.41	31.81	14	1	1	5	0	17	4.47	5.39	NA	22.0964	41.2479	63.3443	0.0677	-0.1217	-0.054	79.55	NA
E4	114	8	22	N	L1	27.75	NA	NA	0	27.75	100	0	5	0	0	83	5.55	NA	NA	8.9126	39.5883	48.5009	0.0239	0.0793	0.1032	80.15	NA
E4	115	8	22	N	L2	35.08	NA	NA	0	35.08	100	0	4	0	0	67	8.77	NA	NA	16.1506	47.08	63.2306	0.0451	-0.0594	-0.0142	83.69	NA
E4	116	8	22	N	L3	20.72	NA	NA	0	20.72	100	0	2	0	0	33	10.36	NA	NA	10.3058	46.9393	57.2451	0.0222	-0.1179	-0.0956	81.99	NA
