expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	118	8	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	18.8261	63.9665	82.7926	77.2611	0.0558	0.1482	0.2040	7/22/11	83.39	W
E4	119	8	S	L1	4.86	NA	81.29	0.00	86.15	6	0	94	0	6.4325	36.0072	42.4398	84.8431	0.0166	0.0853	0.1018	7/22/11	70.48	W
E4	120	8	S	L2	4.09	NA	115.58	0.00	119.67	3	0	97	0	1.2879	25.3606	26.6485	95.1669	0.0009	0.0632	0.0642	7/22/11	64.63	NW
E4	121	8	S	L3	0.54	NA	115.21	0.00	115.75	0	0	100	0	1.8074	28.5504	30.3578	94.0464	-0.0003	0.0704	0.0700	7/22/11	64.65	NW
E4	122	8	S	L4	0.33	NA	107.53	0.00	107.86	0	0	100	0	1.3369	23.1775	24.5144	94.5465	0.0005	0.0562	0.0567	7/22/11	52.42	NW
E4	123	8	S	L5	NA	NA	115.83	0.00	115.83	0	0	100	0	0.8889	21.0430	21.9319	95.9468	-0.0030	0.0181	0.0151	7/22/11	56.98	NW
E4	124	8	P	L1	26.63	6.35	NA	0.00	32.98	81	19	0	0	8.9663	37.1386	46.1049	80.5523	0.0304	-0.0351	-0.0047	7/22/11	79.78	NW
E4	125	8	P	L2	19.95	16.40	NA	0.00	36.35	55	45	0	0	3.3150	28.2340	31.5490	89.4925	0.0105	0.0642	0.0747	7/22/11	80.07	NW
E4	126	8	P	L3	17.94	43.37	NA	0.42	61.73	29	70	0	1	4.6685	34.5693	39.2378	88.1020	0.0155	0.0854	0.1010	7/22/11	78.87	W
E4	127	8	P	L4	0.32	35.29	NA	0.00	35.61	1	99	0	0	5.8645	37.3518	43.2162	86.4300	0.0175	0.0149	0.0324	7/22/11	83.04	NW
E4	128	8	P	L5	NA	34.35	NA	0.00	34.35	0	100	0	0	5.3792	34.3721	39.7513	86.4679	0.0138	0.0828	0.0966	7/22/11	80.34	NW
E4	129	9	N	L0	38.33	NA	NA	0.00	38.33	100	0	0	0	8.4484	73.2707	81.7191	89.6617	0.0276	0.2332	0.2608	7/27/11	79.30	NW
